,date,state,positive,tests,hospitalized,death_total,death,positive_total,pos_rate,death_rate,death_rate_est
2573,2020-10-18,WI,0,26894,1090.0,1588.0,0,175227.0,0.0,0.9062530317816317,0.09062530317816318
2574,2020-10-18,WV,280,8511,173.0,399.0,0,20081.0,3.2898601809423096,1.9869528409939743,0.19869528409939743
2575,2020-10-18,WY,209,797,51.0,57.0,0,9025.0,26.223337515683813,0.631578947368421,0.06315789473684211
2576,2020-10-17,AK,210,7836,68.0,67.0,1,10811.0,2.679938744257274,0.6197391545647951,0.06197391545647951
2577,2020-10-17,AL,1288,7613,823.0,2788.0,2,171662.0,16.91842900302115,1.6241218207873613,0.16241218207873612
2578,2020-10-17,AR,883,9744,573.0,1684.0,19,98422.0,9.061986863711,1.7109995732661396,0.17109995732661396
2579,2020-10-17,AS,0,0,,0.0,0,0.0,,,
2580,2020-10-17,AZ,921,11323,757.0,5824.0,18,230407.0,8.13388677912214,2.5277009813069915,0.2527700981306992
2581,2020-10-17,CA,2979,134755,2995.0,16899.0,69,864455.0,2.2106786390115394,1.9548733016756223,0.19548733016756223
2582,2020-10-17,CO,1139,21496,428.0,2042.0,0,84369.0,5.298660215854112,2.420320259811068,0.24203202598110682
2583,2020-10-17,CT,0,0,184.0,4542.0,0,62830.0,,7.229030717809963,0.7229030717809963
2584,2020-10-17,DC,79,7181,84.0,641.0,0,16334.0,1.1001253307338812,3.924329619199216,0.3924329619199216
2585,2020-10-17,DE,218,6058,101.0,664.0,2,22942.0,3.5985473753714095,2.8942550780228404,0.289425507802284
2586,2020-10-17,FL,3968,76807,2031.0,16118.0,88,743018.0,5.166195789446274,2.169261040782323,0.2169261040782323
2587,2020-10-17,GA,1534,26398,1622.0,7607.0,51,339384.0,5.811046291385711,2.2414138556914884,0.2241413855691488
2588,2020-10-17,GU,79,558,67.0,64.0,1,3617.0,14.157706093189965,1.7694221730716064,0.17694221730716064
2589,2020-10-17,HI,85,3654,100.0,185.0,1,14047.0,2.3262178434592227,1.3170071901473626,0.13170071901473626
2590,2020-10-17,IA,1157,5109,461.0,1527.0,4,101103.0,22.646310432569976,1.510340939437999,0.1510340939437999
2591,2020-10-17,ID,1094,2933,221.0,523.0,6,51704.0,37.29969314694851,1.0115271545721802,0.101152715457218
2592,2020-10-17,IL,3629,77489,2073.0,9452.0,27,343390.0,4.683245363858096,2.7525554034770963,0.2752555403477096
2593,2020-10-17,IN,2482,34221,1358.0,3918.0,31,145977.0,7.252856433184301,2.683984463305863,0.26839844633058635
2594,2020-10-17,KS,0,0,456.0,859.0,0,70855.0,,1.2123350504551549,0.1212335050455155
2595,2020-10-17,KY,1291,20801,691.0,1312.0,12,86797.0,6.206432383058507,1.5115729806329712,0.1511572980632971
2596,2020-10-17,LA,0,0,557.0,5727.0,0,177726.0,,3.222376017014956,0.32223760170149557
2597,2020-10-17,MA,584,75834,500.0,9723.0,21,142930.0,0.7701031199725716,6.802630658364234,0.6802630658364234
2598,2020-10-17,MD,798,36527,422.0,4036.0,4,135127.0,2.1846853012839818,2.9868198065523544,0.29868198065523544
2599,2020-10-17,ME,48,48,11.0,146.0,1,5913.0,100.0,2.4691358024691357,0.24691358024691357
2600,2020-10-17,MI,0,45347,1000.0,7317.0,0,159119.0,0.0,4.598445188820945,0.45984451888209454
2601,2020-10-17,MN,1694,27720,484.0,2217.0,5,121090.0,6.111111111111111,1.8308696011231318,0.18308696011231315
2602,2020-10-17,MO,2357,44134,1431.0,2580.0,121,154928.0,5.340553768069968,1.665289682949499,0.16652896829494993
2603,2020-10-17,MP,6,6,,2.0,0,86.0,100.0,2.3255813953488373,0.23255813953488372
2604,2020-10-17,MS,751,751,609.0,3171.0,11,110006.0,100.0,2.8825700416340925,0.28825700416340927
2605,2020-10-17,MT,638,2666,324.0,240.0,5,22233.0,23.93098274568642,1.0794764539198487,0.1079476453919849
2606,2020-10-17,NC,2102,42841,1140.0,3929.0,19,243725.0,4.906514787236526,1.6120627756692996,0.16120627756692996
2607,2020-10-17,ND,744,7170,217.0,404.0,11,31261.0,10.376569037656903,1.2923450945267267,0.12923450945267265
2608,2020-10-17,NE,1286,13928,322.0,547.0,12,56714.0,9.233199310740954,0.9644884860880911,0.09644884860880912
2609,2020-10-17,NH,111,1,18.0,466.0,1,9625.0,11100.0,4.841558441558442,0.4841558441558442
